CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
9845,C4F6O3,C(=O)(C(F)(F)F)OC(=O)C(F)(F)F,"InChI=1S/C4F6O3/c5-3(6,7)1(11)13-2(12)4(8,9)10",QAEDZJGFFMLHHQ-UHFFFAOYSA-N,"(2,2,2-trifluoroacetyl) 2,2,2-trifluoroacetate",Trifluoroacetic anhydride
76074,C4Cl2F4O3,C(=O)(C(F)(F)Cl)OC(=O)C(F)(F)Cl,"InChI=1S/C4Cl2F4O3/c5-3(7,8)1(11)13-2(12)4(6,9)10",VBJIFLOSOQGDRZ-UHFFFAOYSA-N,"(2-chloro-2,2-difluoroacetyl) 2-chloro-2,2-difluoroacetate",Chlorodifluoroacetic anhydride
67742,C6F10O3,C(=O)(C(C(F)(F)F)(F)F)OC(=O)C(C(F)(F)F)(F)F,"InChI=1S/C6F10O3/c7-3(8,5(11,12)13)1(17)19-2(18)4(9,10)6(14,15)16",XETRHNFRKCNWAJ-UHFFFAOYSA-N,"2,2,3,3,3-pentafluoropropanoyl 2,2,3,3,3-pentafluoropropanoate",Pentafluoropropanoic anhydride
87067,C6H8O3,CC1(CC(=O)OC1=O)C,"InChI=1S/C6H8O3/c1-6(2)3-4(7)9-5(6)8/h3H2,1-2H3",ACJPFLIEHGFXGP-UHFFFAOYSA-N,"3,3-dimethyloxolane-2,5-dione","3,3-Dimethyldihydrofuran-2,5-dione"
7923,C4H2O3,C1=CC(=O)OC1=O,InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H,FPYJFEHAWHCUMM-UHFFFAOYSA-N,"furan-2,5-dione","Furan-2,5-dione"
12012,C5H4O3,CC1=CC(=O)OC1=O,"InChI=1S/C5H4O3/c1-3-2-4(6)8-5(3)7/h2H,1H3",AYKYXWQEBUNJCN-UHFFFAOYSA-N,"3-methylfuran-2,5-dione","3-Methylfuran-2,5-dione"
13010,C6H6O3,CC1=C(C(=O)OC1=O)C,InChI=1S/C6H6O3/c1-3-4(2)6(8)9-5(3)7/h1-2H3,MFGALGYVFGDXIX-UHFFFAOYSA-N,"3,4-dimethylfuran-2,5-dione","3,4-Dimethylfuran-2,5-dione"
74918,C12H22O3,CCCCCC(=O)OC(=O)CCCCC,"InChI=1S/C12H22O3/c1-3-5-7-9-11(13)15-12(14)10-8-6-4-2/h3-10H2,1-2H3",PKHMTIRCAFTBDS-UHFFFAOYSA-N,hexanoyl hexanoate,Hexanoic anhydride
20051,C5H6O3,CC1CC(=O)OC1=O,"InChI=1S/C5H6O3/c1-3-2-4(6)8-5(3)7/h3H,2H2,1H3",DFATXMYLKPCSCX-UHFFFAOYSA-N,"3-methyloxolane-2,5-dione","3-Methyldihydrofuran-2,5-dione"
75498,C17H6O7,C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,InChI=1S/C17H6O7/c18-13(7-1-3-9-11(5-7)16(21)23-14(9)19)8-2-4-10-12(6-8)17(22)24-15(10)20/h1-6H,VQVIHDPBMFABCQ-UHFFFAOYSA-N,"5-(1,3-dioxo-2-benzofuran-5-carbonyl)-2-benzofuran-1,3-dione","5,5'-Carbonylbis(2-benzofuran-1,3-dione)"
230976,C8H3NO5,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)OC2=O,InChI=1S/C8H3NO5/c10-7-5-2-1-4(9(12)13)3-6(5)8(11)14-7/h1-3H,MMVIDXVHQANYAE-UHFFFAOYSA-N,"5-nitro-2-benzofuran-1,3-dione","5-Nitro-2-benzofuran-1,3-dione"
69545,C8F4O3,C12=C(C(=C(C(=C1F)F)F)F)C(=O)OC2=O,InChI=1S/C8F4O3/c9-3-1-2(8(14)15-7(1)13)4(10)6(12)5(3)11,BJDDKZDZTHIIJB-UHFFFAOYSA-N,"4,5,6,7-tetrafluoro-2-benzofuran-1,3-dione","4,5,6,7-Tetrafluoro-2-benzofuran-1,3-dione"
96580,C8H4O4,C1=CC2=C(C(=C1)O)C(=O)OC2=O,"InChI=1S/C8H4O4/c9-5-3-1-2-4-6(5)8(11)12-7(4)10/h1-3,9H",CCTOEAMRIIXGDJ-UHFFFAOYSA-N,"4-hydroxy-2-benzofuran-1,3-dione","4-Hydroxy-2-benzofuran-1,3-dione"
220977,C10H10O3,C1CC2C=CC1C3C2C(=O)OC3=O,"InChI=1S/C10H10O3/c11-9-7-5-1-2-6(4-3-5)8(7)10(12)13-9/h1-2,5-8H,3-4H2",YIHKILSPWGDWPR-UHFFFAOYSA-N,"4-oxatricyclo[5.2.2.02,6]undec-8-ene-3,5-dione","4-Oxatricyclo[5.2.2.02,6]undec-8-ene-3,5-dione"
78480,C8H4ClNO3,C1=CC2=C(C=C1Cl)C(=O)OC(=O)N2,"InChI=1S/C8H4ClNO3/c9-4-1-2-6-5(3-4)7(11)13-8(12)10-6/h1-3H,(H,10,12)",MYQFJMYJVJRSGP-UHFFFAOYSA-N,"6-chloro-1H-3,1-benzoxazine-2,4-dione","6-Chloro-2H-3,1-benzoxazine-2,4(1H)-dione"
65729,C7H4O4S,C1=CC=C2C(=C1)C(=O)OS2(=O)=O,"InChI=1S/C7H4O4S/c8-7-5-3-1-2-4-6(5)12(9,10)11-7/h1-4H",NCYNKWQXFADUOZ-UHFFFAOYSA-N,"1,1-dioxo-2,1lambda6-benzoxathiol-3-one","3H-2,1-benzoxathiol-3-one 1,1-dioxide"
70728,C4Cl2O3,C1(=C(C(=O)OC1=O)Cl)Cl,InChI=1S/C4Cl2O3/c5-1-2(6)4(8)9-3(1)7,AGULWIQIYWWFBJ-UHFFFAOYSA-N,"3,4-dichlorofuran-2,5-dione","3,4-Dichlorofuran-2,5-dione"
97914,C6H6O4S,CC(=O)SC1CC(=O)OC1=O,"InChI=1S/C6H6O4S/c1-3(7)11-4-2-5(8)10-6(4)9/h4H,2H2,1H3",AHTFMWCHTGEJHA-UHFFFAOYSA-N,"S-(2,5-dioxooxolan-3-yl) ethanethioate","S-(2,5-dioxotetrahydrofuran-3-yl) ethanethioate"
70334,C8H2Cl2O3,C1=C2C(=CC(=C1Cl)Cl)C(=O)OC2=O,InChI=1S/C8H2Cl2O3/c9-5-1-3-4(2-6(5)10)8(12)13-7(3)11/h1-2H,ULSOWUBMELTORB-UHFFFAOYSA-N,"5,6-dichloro-2-benzofuran-1,3-dione","5,6-Dichloro-2-benzofuran-1,3-dione"
